Date,Full Retreat and Summaries,Title of Event,#,Transcript or Writing,Title of Talk or Writing,Link,Broad Topics,Detailed Topics,Principal teacher 1,Principal teacher 2,Facilitator 1,Organization,Venue,Dates of overall event,Length of recording,Type of recording,Teacher's note on suitability,Online,Live audience,Audience (experienced or general),Technical notes on audio quality
2010-04-01,,Assorted Writings,1,"https://dl.airtable.com/.attachments/9020dfc7cb6cc54adbc8b4f4710d4634/a90cdc74/2010_0401GaiaHouseNewsletterSpring2010article-GivingVoicetoCompassionpg4.pdf,https://dl.airtable.com/.attachments/b3b09c633a528252deebf1c64c1041ba/64b4538b/2010_0401GaiaHouseNewsletterSpring2010article-GivingVoicetoCompassion-original.pdf",Article: Giving Voice to Compassion,https://gaiahouse.co.uk/wp-content/uploads/newsletter-spring-2010.pdf,brahmaviharas,"compassion,ethics/engagement",,,,,,,,Writing,,,,,
2010-08-06,https://dl.airtable.com/.attachments/da390f009247f00fff9a33300b46c27c/24fc3aad/2010_0806TheLovingkindnessMettaRetreat.pdf,The Lovingkindness (Metta) Retreat,1,https://dl.airtable.com/.attachments/47987602056245beeda2ec65f29581e2/aab290fc/2010_0806AboutMettaPractice.pdf,About Metta Practice,https://dharmaseed.org/teacher/210/talk/9988/,brahmaviharas,"metta,intro/overview,insight and cultivation (aspects or wings of the path),Buddha-nature,kilesas,guided reflections,guided meditation on metta,bodhicitta",Rob Burbea,,,Gaia House,"Gaia House, Devon",August 6 - 11 2010,4065,Talk,"An overview and introduction to the practice of Loving Kindness, and some of the ways it works to bring healing and joy, true nourishment and inner resource, and ultimately transforms the very way we see life.",,true,,
2010-08-07,,The Lovingkindness (Metta) Retreat,2,https://dl.airtable.com/.attachments/32738ace99798c45a7ecdd6f690ce970/6236f289/2010_0807MettaInstructionsandGuidedMeditation1.pdf,Metta Instructions and Guided Meditation 1,https://dharmaseed.org/teacher/210/talk/9983/,brahmaviharas,"metta,metta to self,metta to easiest person / benefactor,metta: working with phrases,metta: ways of practicing without phrases,guided meditation on metta,metta: practicing with the body,walking meditation",Rob Burbea,,,Gaia House,"Gaia House, Devon",August 6 - 11 2010,3202,Practice instructions/guided practice,,,true,,
2010-08-08,,The Lovingkindness (Metta) Retreat,3,https://dl.airtable.com/.attachments/1ba91b1c3a626488e969f1620142fcc2/574c77e5/2010_0808MettaInstructionsandGuidedMeditation2.pdf,Metta Instructions and Guided Meditation 2,https://dharmaseed.org/teacher/210/talk/9984/,brahmaviharas,"metta,metta: navigating (sailing) practice when smooth or difficult,metta: working with phrases,metta to friend,guided meditation on metta",Rob Burbea,,,Gaia House,"Gaia House, Devon",August 6 - 11 2010,2904,Practice instructions/guided practice,,,true,,
2010-08-08,,The Lovingkindness (Metta) Retreat,4,https://dl.airtable.com/.attachments/9445f1fc152678e9202450645fa42359/ef95e2ef/2010_0808HeartWork.pdf,Heart Work,https://dharmaseed.org/teacher/210/talk/9982/,brahmaviharas,"metta,metta: navigating (sailing) practice when smooth or difficult,working with difficult emotions / sensations / energies,emotions,metaphors: water, liquid,emotions, skill with,practice as kindness,wonder,metta: practicing with the body,metta: ways of practicing without phrases",Rob Burbea,,,Gaia House,"Gaia House, Devon",August 6 - 11 2010,4420,Talk,"To really care for ourselves includes both learning to work skillfully with difficult emotions, and developing, deepening and refining the practice of metta, in meditation and in the world. This talk begins to explore both of these dimensions in some detail.",,true,,
2010-08-09,,The Lovingkindness (Metta) Retreat,5,https://dl.airtable.com/.attachments/b98be61f24b236dceeafda38c89b71cc/6a5ce1ec/2010_0809MettaInstructionsandGuidedMeditation3.pdf,Metta Instructions and Guided Meditation 3,https://dharmaseed.org/teacher/210/talk/9985/,brahmaviharas,"metta,metta: difficulty receiving love,metta to neutral person,sexual energy, working with,guided meditation on metta",Rob Burbea,,,Gaia House,"Gaia House, Devon",August 6 - 11 2010,2644,Practice instructions/guided practice,,,true,,
2010-08-09,,The Lovingkindness (Metta) Retreat,6,https://dl.airtable.com/.attachments/8bcfbe2d9caa5ae52e61dc0978799294/f911e807/2010_0809MettaInstructionsandGuidedMeditation4.pdf,Metta Instructions and Guided Meditation 4,https://dharmaseed.org/teacher/210/talk/9986/,brahmaviharas,"metta,metta to difficult person,guided meditation on metta",Rob Burbea,,,Gaia House,"Gaia House, Devon",August 6 - 11 2010,2845,Practice instructions/guided practice,,,true,,
2010-08-10,,The Lovingkindness (Metta) Retreat,7,https://dl.airtable.com/.attachments/219a158732a58f8cecae9dd8bcc6ad3d/8ac716a7/2010_0810MettaInstructionsandGuidedMeditation5.pdf,Metta Instructions and Guided Meditation 5,https://dharmaseed.org/teacher/210/talk/9987/,brahmaviharas,"metta,metta to all beings,guided meditation on metta,subtlety, subtlizing of attention and experience,metta: practicing with the body,working with difficult emotions / sensations / energies",Rob Burbea,,,Gaia House,"Gaia House, Devon",August 6 - 11 2010,2877,Practice instructions/guided practice,,,true,,
2010-08-10,,The Lovingkindness (Metta) Retreat,8,https://dl.airtable.com/.attachments/476695caf6aa94e1e7274c3549c8d8a4/3139a7f3/2010_0810SelflessnessandaLifeofLove.pdf,Selflessness and a Life of Love,https://dharmaseed.org/teacher/210/talk/9989/,"brahmaviharas,emptiness/insight","metta,Practice: exchanging the happiness of self and other,bodhicitta,ethics/engagement,communication, skill with,malleability of perception,emptiness/insight: nothing independent of the way of looking,mystical openings and experiences,emotions / mind states: feedback loops,seeing as perfect",Rob Burbea,,,Gaia House,"Gaia House, Devon",August 6 - 11 2010,4129,Talk,"Through profound Insight, inquiry and the practices of the heart, there is the possibility of a radically different relationship with our whole existence, liberating a fearlessness and unboundedness to our love.",,true,,
2010-11-06,https://dl.airtable.com/.attachments/7570ef0f67548dde38ed6e905f81a2cd/21ab896b/2010_1106NovemberSolitaryRetreat.pdf,November Solitary,1,https://dl.airtable.com/.attachments/bb91945ff40872cf3b5fae876d6654c6/17b3fe96/2010_1106TheMysteryofVedana-AKeytoLiberation.pdf,The Mystery of Vedana: A Key to Liberation,https://dharmaseed.org/teacher/210/talk/11502/,emptiness/insight,"inquiring,mindfulness,awakening: inquiring into freedom at root or branch levels,mindfulness, foundations of: second foundation (vedana),clinging / craving: noticing and working with in body,clinging / craving: practical approaches,sensitivity,impermanence (anicca),Practice: welcoming/allowing,emptiness/insight: fading, unfabricating,modern physics / quantum physics",Rob Burbea,,,Gaia House,"Gaia House, Devon",November 2-30 2010,4159,Talk,"The contemplation of vedana, the Second Foundation of Mindfulness, provides a powerful tool to dismantle suffering; it can also reveal surprising and profoundly liberating truths about the nature of reality.",,true,,
2010-11-12,,November Solitary,2,https://dl.airtable.com/.attachments/bf55399a1d34aaf9463749e1f79ef4e8/93a95ce0/2010_1112ThePsychodynamicsinMeditationPart1.pdf,The Psychodynamics in Meditation (Part 1),https://dharmaseed.org/teacher/210/talk/11503/,other topics,"personality level - working with reified self,emotions,emotions: increase energy in attention, decrease in emotion,emotions / mind states: differentiation,emotions / mind states: developing capacity to feel in body,sensitivity,Practice: noticing assumptions,inquiring,emotions / mind states: sadness, depression,blessing,self-views, noticing and practicing with",Rob Burbea,,,Gaia House,"Gaia House, Devon",November 2-30 2010,3768,Talk,"Through the development of various skillful means, we can unlock the innately liberating dynamism at the heart of our emotional life, allowing deep healing, freedom, and the natural unfolding of our full potential.",,true,,
2010-11-20,,November Solitary,3,https://dl.airtable.com/.attachments/ee685901ebf369a0cd42e70b16ef52b3/cd56e692/2010_1120ThePsychodynamicsinMeditationPart2.pdf,The Psychodynamics in Meditation (Part 2),https://dharmaseed.org/teacher/210/talk/11505/,other topics,"personality level - working with reified self,emotions,emotions: increase energy in attention, decrease in emotion,self-views, noticing and practicing with,inquiring,judgment/inner critic,emotions / mind states, resourcing and cultivating skillful,noticing/inhabiting power and strength,images: non-soulmaking uses of images,Jung: active imagination,images: dialogue in images,resourcing and healing through story",Rob Burbea,,,Gaia House,"Gaia House, Devon",November 2-30 2010,3567,Talk,"Through the development of various skillful means, we can unlock the innately liberating dynamism at the heart of our emotional life, allowing deep healing, freedom, and the natural unfolding of our full potential.",,true,,
2010-11-26,,November Solitary,4,https://dl.airtable.com/.attachments/672c27969d2c5cdd4a6164457be443dd/103d8902/2010_1126ThePsychodynamicsinMeditationPart3-DimensionsofthePersonalJourney.pdf,The Psychodynamics in Meditation (Part 3 - Dimensions of the Personal Journey),https://dharmaseed.org/teacher/210/talk/11504/,other topics,"personality level - working with reified self,emotions,mindfulness, foundations of: second foundation (vedana),mindfulness,seeing as perfect,Four Noble Truths,avijja (ignorance, fundamental delusion),not-self (anatta),self-views, noticing and practicing with,emptiness/insight: picking up and putting down emptiness,sexuality/romantic relationships,critique: view of aggregates/everything as a process,desire/eros,Practice: Opening to the current of desire,kilesas",Rob Burbea,,,Gaia House,"Gaia House, Devon",November 2-30 2010,4012,Talk,"With wisdom and sensitivity, we can learn to use both the view of emptiness and the view of self to bring a completeness to our unfolding liberation and to know the joy and openness of ongoing discovery.",,true,,
2010-12-04,https://dl.airtable.com/.attachments/daa3caaf1c120fe5a4b06407d6933f77/d6112e60/2010_1204EndingtheInnerCritic.pdf,"Day Retreat, London Insight",1,https://dl.airtable.com/.attachments/5cc6a29f4da1e7d444ad37014acca430/29737a19/2010_1204EndingtheInnerCriticPart1.pdf,Ending the Inner Critic (1),https://dharmaseed.org/teacher/210/talk/35159/,other topics,"personality level - working with reified self,judgment/inner critic,metta,mindfulness,inquiring",Rob Burbea,,,London Insight Meditation,"King Alfred School, London",,2084,Talk,,,true,,Audio quality is poor
2010-12-04,,"Day Retreat, London Insight",2,https://dl.airtable.com/.attachments/3e4656c3aff132fcfb367a7226d596fa/702a59b4/2010_1204EndingtheInnerCriticPart2.pdf,Ending the Inner Critic (2),https://dharmaseed.org/teacher/210/talk/35161/,other topics,"mindfulness,inquiring,personality level - working with reified self,judgment/inner critic,noticing/inhabiting power and strength",Rob Burbea,,,London Insight Meditation,"King Alfred School, London",,2787,Talk,,,true,,Audio quality is poor
2010-12-04,,"Day Retreat, London Insight",3,https://dl.airtable.com/.attachments/54b4888aa45a8025fb971195d1802d7f/faa45d47/2010_1204EndingtheInnerCriticPart3.pdf,Ending the Inner Critic (3),https://dharmaseed.org/teacher/210/talk/35160/,other topics,"mindfulness,inquiring,personality level - working with reified self,judgment/inner critic,Practice: reflecting on positive qualities,desire: inquiring into deeper desires,Practice: spacious or vast awareness",Rob Burbea,,,London Insight Meditation,"King Alfred School, London",,2112,Talk,,,true,,Audio quality is poor
2010-12-30,https://dl.airtable.com/.attachments/3e3e20c927648be1a83df48458041a88/8bb392f8/2010_1230NewYearRetreat.pdf,New Year Retreat,1,https://dl.airtable.com/.attachments/1572f5c6156eec7bc7902e5055144ab1/d6700424/2010_1230MettaInstructionsandGuidedMeditation-MettaforFriendandBenefactor.pdf,Metta Instructions and Guided Meditation (Metta for Friend and Benefactor),https://hermesamara.org/resources/talk/2010-12-30-metta-instructions-and-guided-meditation-metta-for-friend-and-benefactor,brahmaviharas,"metta,metta: working with categories,metta to friend,metta to easiest person / benefactor,guided meditation on metta",Rob Burbea,,,Gaia House,"Gaia House, Devon",December 27 2019 - January 2 2011,2319,Practice instructions/guided practice,,,true,,
2010-12-31,,New Year Retreat,2,https://dl.airtable.com/.attachments/dd8991b0e8c5d5513f4e33b7f00fbf8a/ff70ffb0/2010_1231LiberationandtheSelf-AGuidedInquiry.pdf,Liberation and the Self - A Guided Inquiry,https://dharmaseed.org/teacher/210/talk/11968/,other topics,"inquiring,awakening,concepts/logos,concepts/logos: possible meditations on ideas",Rob Burbea,,,Gaia House,"Gaia House, Devon",December 27 2019 - January 2 2011,3130,Practice instructions/guided practice,,,true,,
2011-01-01,,New Year Retreat,3,https://dl.airtable.com/.attachments/61791a74209aca3b550cef63758ecafe/950714a0/2011_0101InstructionsontheMindfulnessofThought.pdf,Instructions on the Mindfulness of Thought,https://dharmaseed.org/teacher/210/talk/11967/,emptiness/insight,"mindfulness,mindfulness, foundations of: third foundation (citta),working with thought in practice,labeling in practice,Practice: spacious or vast awareness",Rob Burbea,,,Gaia House,"Gaia House, Devon",December 27 2019 - January 2 2011,1530,Practice instructions,,,true,,
2011-02-05,https://dl.airtable.com/.attachments/a7d4c8752c20111820d25d172d83bd27/81665938/2011_0205MettaandEmptinessLevel1.pdf,Metta and Emptiness (Level 1),1,https://dl.airtable.com/.attachments/1ec566951980d3ff698ea6738eecf871/fdfbeb70/2011_0205OpeningTalkforMettaandEmptinessLevel1-BeingonRetreat.pdf,Opening Talk for Metta and Emptiness (Level 1): Being on Retreat,https://dharmaseed.org/teacher/210/talk/12523/,"brahmaviharas,emptiness/insight","metta,insight and cultivation (aspects or wings of the path),guided energy body meditation,practice as kindness",Rob Burbea,Catherine McGee,,Gaia House,"Gaia House, Devon",,5644,Talk,,,true,,
2011-02-06,,Metta and Emptiness (Level 1),2,https://dl.airtable.com/.attachments/31967821a53013122f644d95a5aed14b/da55acd8/2011_0206FirstInstructionsandGuidedMettaMeditation.pdf,First Instructions and Guided Metta Meditation,https://dharmaseed.org/teacher/210/talk/12516/,"brahmaviharas,emptiness/insight","metta,guided meditation on metta,metta to self,metta to easiest person / benefactor,metta: working with phrases,metta: ways of practicing without phrases,walking meditation",Rob Burbea,,,Gaia House,"Gaia House, Devon",,3370,Practice instructions/guided practice,,,true,,
2011-02-06,,Metta and Emptiness (Level 1),3,https://dl.airtable.com/.attachments/eba37fbc2cc76a370516bc490a6a1fe3/5dc186c1/2011_0206FreeingtheSelf.pdf,Freeing the Self,https://dharmaseed.org/teacher/210/talk/12521/,"brahmaviharas,emptiness/insight","metta,self-views, noticing and practicing with,personality level - working with reified self,working with subtle reification/self-identification,Four Noble Truths,critique: emptiness as disappointing or bleak,emptiness/insight: picking up and putting down emptiness",Rob Burbea,,,Gaia House,"Gaia House, Devon",,3331,Talk,,,true,,
2011-02-07,,Metta and Emptiness (Level 1),4,https://dl.airtable.com/.attachments/658dc8f671c8b3239f3c490e484ab0d2/a7cee629/2011_0207SecondInstructionsandGuidedMettaMeditation.pdf,Second Instructions and Guided Metta Meditation,https://dharmaseed.org/teacher/210/talk/12524/,"brahmaviharas,emptiness/insight","metta,guided meditation on metta,hindrances,metta: navigating (sailing) practice when smooth or difficult,metta: working with phrases,metta: practicing with the body,metta to self,metta to easiest person / benefactor,energy body",Rob Burbea,,,Gaia House,"Gaia House, Devon",,3273,Practice instructions/guided practice,,,true,,
2011-02-08,,Metta and Emptiness (Level 1),5,https://dl.airtable.com/.attachments/4a9d4950af6dd8d5d8e37ff4bc22fd5e/5e424dee/2011_0208RefiningtheMettaPractice-QuestionandAnswerSession1.pdf,Refining the Metta Practice (Question and Answer Session 1),https://dharmaseed.org/teacher/210/talk/12518/,"brahmaviharas,emptiness/insight","metta,insight and cultivation (aspects or wings of the path),inertia,metta: informal or off-cushion practice,energy body,oneness/vastness, different flavors of (love, awareness, etc.),malleability of perception,working with pain / discomfort,metta to friend",Rob Burbea,,,Gaia House,"Gaia House, Devon",,3760,Question and answer session,,,true,,
2011-02-09,,Metta and Emptiness (Level 1),6,https://dl.airtable.com/.attachments/5dc0dc28047a8dd2077d514ab79b5fb2/03ed3b4e/2011_0209FourthInstructionsandGuidedMettaMeditation.pdf,Fourth Instructions and Guided Metta Meditation,https://dharmaseed.org/teacher/210/talk/12519/,"brahmaviharas,emptiness/insight","metta,samadhi,energy body,metta: navigating (sailing) practice when smooth or difficult,working with pain / discomfort,samadhi: aspects of samadhi (well-being, focus, energization, etc.),samadhi and insight: order of practice,working with difficult emotions / sensations / energies,metta: practicing with the body,metta: ways of practicing without phrases,guided meditation on metta,guided imagination meditation",Rob Burbea,,,Gaia House,"Gaia House, Devon",,3262,Practice instructions/guided practice,,,true,,
2011-02-09,,Metta and Emptiness (Level 1),7,https://dl.airtable.com/.attachments/296d20eae12fb97e22db4fd02b3fb2c2/03ccb2c0/2011_0209EndingBlame.pdf,Ending Blame,https://dharmaseed.org/teacher/210/talk/12514/,"brahmaviharas,emptiness/insight","metta,blame,personality level - working with reified self,emotions,emptiness/insight: examining inner and outer conditions,views/orientations in practice,self-views, noticing and practicing with,sexuality/romantic relationships,emotions / mind states: shame or unworthiness",Rob Burbea,,,Gaia House,"Gaia House, Devon",,3295,Talk,,,true,,
2011-02-10,,Metta and Emptiness (Level 1),8,https://dl.airtable.com/.attachments/6cf9ef831ccb69857ef1e5f34267d677/63184006/2011_0210FifthInstructionsandGuidedMettaMeditation.pdf,Fifth Instructions and Guided Metta Meditation,https://dharmaseed.org/teacher/210/talk/12515/,"brahmaviharas,emptiness/insight","metta,metta to neutral person,guided meditation on metta",Rob Burbea,,,Gaia House,"Gaia House, Devon",,2617,Practice instructions/guided practice,,,true,,
2011-02-10,,Metta and Emptiness (Level 1),9,https://dl.airtable.com/.attachments/178ce1301a632bdb037856ff07478b27/2eee5586/2011_0210QuestionandAnswerSession2.pdf,Question and Answer Session 2,https://dharmaseed.org/teacher/210/talk/12525/,"brahmaviharas,emptiness/insight","metta,metta: navigating (sailing) practice when smooth or difficult,clinging / craving: practical approaches,working with pain / discomfort,gratitude and appreciation,emptiness: what is emptiness?,emptiness/insight: understanding, not just having experiences,jhana,emptiness/insight: fading, unfabricating",Rob Burbea,,,Gaia House,"Gaia House, Devon",,4866,Question and answer session,,,true,,
2011-02-12,,Metta and Emptiness (Level 1),10,https://dl.airtable.com/.attachments/b6af6c8c6403fc35a823682189e699ce/07478be9/2011_0212SeventhInstructionsandGuidedMettaMeditation-MettaandEmptiness.pdf,Seventh Instructions and Guided Metta Meditation: Metta and Emptiness,https://dharmaseed.org/teacher/210/talk/12526/,"brahmaviharas,emptiness/insight","metta,metta to all beings,emptiness/insight: cementing and consolidating insights,emptiness/insight: how does insight deepen?,inquiring",Rob Burbea,,,Gaia House,"Gaia House, Devon",,2098,Practice instructions,,,true,,
2011-02-12,,Metta and Emptiness (Level 1),11,https://dl.airtable.com/.attachments/55e7c35faf52f83c819e582505b97ac7/9db18224/2011_0212ContactandtheConstructionofSelf.pdf,Contact and the Construction of Self,https://dharmaseed.org/teacher/210/talk/12513/,"brahmaviharas,emptiness/insight","metta,self-views, noticing and practicing with,emptiness: inquiring into the construction of suffering, self, world,close investigation of experience / 'bare attention',goals and effort,non-doing, reluctance to 'do' in practice,avijja (ignorance, fundamental delusion),mindfulness, foundations of: second foundation (vedana)",Rob Burbea,,,Gaia House,"Gaia House, Devon",,3609,Talk,,,true,,
2011-02-13,,Metta and Emptiness (Level 1),12,https://dl.airtable.com/.attachments/6a0d2599f03e17a939e161f3289e77a5/2be8fe65/2011_0213WaysofLooking-1Anicca.pdf,Ways of Looking: (1) Anicca,https://dharmaseed.org/teacher/210/talk/12529/,"brahmaviharas,emptiness/insight","metta,three characteristics,impermanence (anicca),definitions: what is insight?,emptiness/insight: list of impermanence (anicca) practices",Rob Burbea,,,Gaia House,"Gaia House, Devon",,4312,Talk,,,true,,
2011-02-14,,Metta and Emptiness (Level 1),13,https://dl.airtable.com/.attachments/d2d53758fdd07544ed56f40b920d7417/92ccc94e/2011_0214ImpermanenceLoveEmptiness-QuestionandAnswerSession3.pdf,"Impermanence, Love, Emptiness (Question and Answer Session 3)",https://dharmaseed.org/teacher/210/talk/12528/,"brahmaviharas,emptiness/insight","metta,three characteristics,emotions / mind states: fear and anxiety,emptiness/insight: doubts/concerns in or about practice,oneness/vastness, different flavors of (love, awareness, etc.),beyond spaciousness/the vastness of awareness,jhana,emptiness/insight: emptiness of impermanence,goals and effort,impermanence (anicca),self-views, noticing and practicing with,purification / stored psychological material",Rob Burbea,,,Gaia House,"Gaia House, Devon",,4494,Question and answer session,,,true,,
2011-02-15,,Metta and Emptiness (Level 1),14,https://dl.airtable.com/.attachments/58ceebe2c98dd0f8a23e27158e8acb6b/d1233b1e/2011_0215WaysofLooking-2Dukkha.pdf,Ways of Looking: (2) Dukkha,https://dharmaseed.org/teacher/210/talk/12531/,"brahmaviharas,emptiness/insight","metta,three characteristics,emptiness/insight: list of dukkha (suffering) practices,dukkha (suffering),holy discontent, holy disinterest",Rob Burbea,,,Gaia House,"Gaia House, Devon",,2368,Talk,,,true,,
2011-02-16,,Metta and Emptiness (Level 1),15,https://dl.airtable.com/.attachments/bd751d360aef2e790164a1aa5e62b05b/f5d2a85c/2011_0216DeepeningIntoEmptiness-QuestionandAnswerSession4.pdf,Deepening Into Emptiness (Question and Answer Session 4),https://dharmaseed.org/teacher/210/talk/12520/,"brahmaviharas,emptiness/insight","metta,emotions / mind states: fear and anxiety,working with sense of lack,awakening,self-views, noticing and practicing with,Middle Way of emptiness,emptiness/insight: picking up and putting down emptiness,modern physics / quantum physics,emptiness/insight: dependent arising, mutual dependence,emptiness/insight: relationship of conventional reality with emptiness,equanimity,oneness/vastness, different flavors of (love, awareness, etc.)",Rob Burbea,,,Gaia House,"Gaia House, Devon",,4872,Question and answer session,,,true,,
2011-02-17,,Metta and Emptiness (Level 1),16,https://dl.airtable.com/.attachments/0a694d8cc0800ba91235b389d43d24bf/1834e0ac/2011_0217WaysofLooking-3Anatta.pdf,Ways of Looking: (3) Anatta,https://dharmaseed.org/teacher/210/talk/12530/,"brahmaviharas,emptiness/insight","metta,three characteristics,not-self (anatta),Middle Way of emptiness,aggregates (skandhas),critique: view of aggregates/everything as a process,emptiness/insight: list of anatta (emptiness of self) practices,emptiness/insight: kink in the carpet phenomenon,non-doing, reluctance to 'do' in practice",Rob Burbea,,,Gaia House,"Gaia House, Devon",,3079,Talk,,,true,,
2011-02-19,,Metta and Emptiness (Level 1),17,https://dl.airtable.com/.attachments/04ee37cc387f8e6da5d2d0cfa89ca7f4/60787bbc/2011_0219QuestioningReality-QuestionandAnswerSession5.pdf,Questioning Reality (Question and Answer Session 5),https://dharmaseed.org/teacher/210/talk/12517/,"brahmaviharas,emptiness/insight","metta,concepts/logos: the place of ideas in practice,not-self (anatta),aggregates (skandhas),working with subtle reification/self-identification,clarity/vividness as a stage or bandwidth of unfabricating,emptiness of time,emptiness/insight: working with flatness, disconnection,desire/eros,working with pain / discomfort,desire: inquiring into deeper desires,kilesas,emptiness/insight: understanding, not just having experiences,emptiness/insight: stepping-stones, insight building on insight,three characteristics",Rob Burbea,,,Gaia House,"Gaia House, Devon",,5298,Question and answer session,,,true,,
2011-02-20,,Metta and Emptiness (Level 1),18,https://dl.airtable.com/.attachments/5472b6556539a1baeb9596c81b09c6e3/a87d5a5c/2011_0220QuestionandAnswerSession6.pdf,Question and Answer Session 6,n/a,"brahmaviharas,emptiness/insight","metta,dukkha: based on belief in reality of things,aging/sickness/death,overestimating effect of mind on body, health, illness,malleability of perception,not-self (anatta),ways of looking, subtexts in,working with thought in practice",Rob Burbea,,,Gaia House,"Gaia House, Devon",,4968,Question and answer session,,,true,,
2011-02-22,,Metta and Emptiness (Level 1),19,https://dl.airtable.com/.attachments/5a06a4d87b0f638bcb866f20d33cdef7/5ecdf73e/2011_0222GuidedMeditation-ThePlayofAppearances.pdf,Guided Meditation - The Play of Appearances,https://dharmaseed.org/teacher/210/talk/12522/,"brahmaviharas,emptiness/insight","metta,Practice: welcoming/allowing",Rob Burbea,,,Gaia House,"Gaia House, Devon",,2242,Practice instructions,,,true,,
2011-04-01,,Assorted Writings,1,https://dl.airtable.com/.attachments/18de33bdcd8833dd08daffcfeaec71fc/339c423b/2011_0401AnOpenLetterandProposaltoAllWhoAreInvolvedintheDharma.pdf,An Open Letter and Proposal to All Who Are Involved in the Dharma,https://www.sanghaseva.org/info/ClimateChange.html,other topics,ethics/engagement,,,,,,,,Writing,,,,,
2011-07-29,https://dl.airtable.com/.attachments/649b70c00bac7b7ffd0fd1e5b0f5fbc6/aca8b0cb/2011_0729TheBoundlessHeart.pdf,The Boundless Heart,1,https://dl.airtable.com/.attachments/ff8eee971e24aca22a100d3cc059a2eb/cc54a204/2011_0729ReflectionsontheRetreatandonthePath.pdf,Reflections on the Retreat and on the Path,https://dharmaseed.org/teacher/210/talk/13849/,other topics,"getting in touch with deeper priorities,practice as kindness,views/orientations in practice,desire/eros,emotions",Rob Burbea,,,Gaia House,"Gaia House, Devon",,2078,Talk,"About aspiration and longing, being on retreat, listening to talks, meditation practice, emotions and the path. (This is the Introductory Talk for the Boundless Heart Retreat)",,true,,
2011-07-30,,The Boundless Heart,2,https://dl.airtable.com/.attachments/a5ec39073d33fbf2285642333a4977b4/9aa7899f/2011_0730WorkingwiththeEmotionalBody-InstructionsandGuidedMeditation-DayOne.pdf,Working with the Emotional Body (Instructions and Guided Meditation: Day One),https://dharmaseed.org/teacher/210/talk/13853/,other topics,"emotions,emotions: increase energy in attention, decrease in emotion,emotions: range, ability to be with, unknotting, confidence,emotions / mind states: what are mind states or emotions?,practice as kindness,central line mindfulness,guided practice with the emotional body",Rob Burbea,,,Gaia House,"Gaia House, Devon",,3629,Practice instructions/guided practice,This series of guided meditations and instructions presents a set of tools and approaches for working skilfully with emotions and mind states in practice.,,true,,
2011-07-31,,The Boundless Heart,3,https://dl.airtable.com/.attachments/29642db629b5acd50556d5852e34de9e/8930f16c/2011_0731WorkingwiththeEmotionalBody-InstructionsandGuidedMeditation-DayTwo.pdf,Working with the Emotional Body (Instructions and Guided Meditation: Day Two),https://dharmaseed.org/teacher/210/talk/13857/,other topics,"emotions,energy body,working with tiredness / dullness,working with pain / discomfort,qualities of attention: softness versus intensity,emotions / mind states: attending to  calmness or 'not much going on',practice as kindness,guided practice with the emotional body",Rob Burbea,,,Gaia House,"Gaia House, Devon",,3344,Practice instructions/guided practice,This series of guided meditations and instructions presents a set of tools and approaches for working skilfully with emotions and mind states in practice.,,true,,
2011-07-31,,The Boundless Heart,4,https://dl.airtable.com/.attachments/d2ce173ff14d3197f883f476cd7c5492/06c92371/2011_0731TheMeditatorasRevolutionary.pdf,The Meditator as Revolutionary,https://dharmaseed.org/teacher/210/talk/13850/,other topics,"ethics/engagement,developing capacity to feel the pain of our times,societal influence on extrinsic/intrinsic values,emotions / mind states: differentiating fear from concern,emotions / mind states: anger as energized responsiveness,emptiness/insight: how insight and taking risks feed each other,views/orientations in practice,fantasies of the path,emotions,images: early talks on images",Rob Burbea,,,Gaia House,"Gaia House, Devon",,4202,Talk,,,true,,
2011-08-01,,The Boundless Heart,5,https://dl.airtable.com/.attachments/93fd2d4934dd3a30d093c22c7825ec91/c48d2c0c/2011_0801WorkingwiththeEmotionalBody-InstructionsandGuidedMeditation-DayThree.pdf,Working with the Emotional Body (Instructions and Guided Meditation: Day Three),https://dharmaseed.org/teacher/210/talk/13856/,other topics,"emotions,energy body,emotions: labelling/not labelling unfolds experience differently,Practice: noticing assumptions,seeing as perfect,emotions: increase energy in attention, decrease in emotion,Practice: chopping off past and future,guided practice with the emotional body",Rob Burbea,,,Gaia House,"Gaia House, Devon",,3110,Practice instructions/guided practice,This series of guided meditations and instructions presents a set of tools and approaches for working skilfully with emotions and mind states in practice.,,true,,
2011-08-02,,The Boundless Heart,6,https://dl.airtable.com/.attachments/45b62d9af2cea7a6fc3abca3aaf944f8/7e24e524/2011_0802WorkingwiththeEmotionalBody-InstructionsandGuidedMeditation-DayFour.pdf,Working with the Emotional Body (Instructions and Guided Meditation: Day Four),https://dharmaseed.org/teacher/210/talk/13852/,other topics,"emotions,practice as kindness,energy body,Practice: opening to sounds and silence,central line mindfulness,Practice: spacious or vast awareness,guided practice with the emotional body",Rob Burbea,,,Gaia House,"Gaia House, Devon",,2924,Practice instructions/guided practice,This series of guided meditations and instructions presents a set of tools and approaches for working skilfully with emotions and mind states in practice.,,true,,
